row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_made_count,shot_missed_count,pass_count,rebound_count,steal_or_block_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00058,pass,패스,,6182,206.067,2,team_2,,,,,,,,,,8446,8527,0.59,stable_possession_changed_same_team;gap_frames=3;left_frames=10;right_frames=6
event,E00059,shot_missed,슛실패,,6231,207.7,2,team_2,,,,,,,,,,8446,,0.36,near_rim_no_make_detected
event,E00060,rebound,리바운드,,6250,208.333,2,team_2,,,,,,,,,,8527,,0.5,offensive_rebound_after_missed_shot_frame=6231
event,E00061,shot_made,슛성공,,6360,212.0,2,team_2,,,,,,,,,,8527,,0.48,ball_crossed_rim_zone
event,E00062,steal_or_block,스틸/블락,,6540,218.0,1,team_1,,,,,,,,,,8500,8448,0.58,stable_possession_changed_opponent_team;gap_frames=1;left_frames=8;right_frames=20
event,E00063,pass,패스,,6714,223.8,2,team_2,,,,,,,,,,8637,8689,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=18;right_frames=6
event,E00064,pass,패스,,6751,225.033,2,team_2,,,,,,,,,,8744,8637,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=6;right_frames=6
event,E00065,shot_missed,슛실패,,6885,229.5,,unknown,,,,,,,,,,9153,,0.315,near_rim_no_make_detected
event,E00066,rebound,리바운드,,6887,229.567,2,team_2,,,,,,,,,,9177,,0.5,defensive_rebound_after_missed_shot_frame=6885
event,E00067,pass,패스,,7020,234.0,2,team_2,,,,,,,,,,9278,9340,0.62,stable_possession_changed_same_team;gap_frames=1;left_frames=8;right_frames=10
event,E00068,shot_missed,슛실패,,7149,238.3,2,team_2,,,,,,,,,,9512,,0.33,near_rim_no_make_detected
event,E00069,rebound,리바운드,,7158,238.6,2,team_2,,,,,,,,,,9278,,0.5,offensive_rebound_after_missed_shot_frame=7149
event,E00070,pass,패스,,7210,240.333,2,team_2,,,,,,,,,,9278,9512,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=13;right_frames=16
event,E00071,pass,패스,,7246,241.533,2,team_2,,,,,,,,,,9831,9278,0.68,stable_possession_changed_same_team;gap_frames=20;left_frames=16;right_frames=25
event,E00072,steal_or_block,스틸/블락,,7484,249.467,2,team_2,,,,,,,,,,10127,10182,0.55,stable_possession_changed_opponent_team;gap_frames=15;left_frames=6;right_frames=6
event,E00073,pass,패스,,7536,251.2,2,team_2,,,,,,,,,,10422,10127,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=7;right_frames=6
event,E00074,pass,패스,,7631,254.367,2,team_2,,,,,,,,,,10631,10527,0.62,stable_possession_changed_same_team;gap_frames=1;left_frames=10;right_frames=8
event,E00075,shot_made,슛성공,,8228,274.267,2,team_2,,,,,,,,,,11052,,0.573,ball_crossed_rim_zone
event,E00076,shot_missed,슛실패,,8269,275.633,2,team_2,,,,,,,,,,11064,,0.315,near_rim_no_make_detected
event,E00077,rebound,리바운드,,8280,276.0,2,team_2,,,,,,,,,,11270,,0.5,offensive_rebound_after_missed_shot_frame=8269
event,E00078,pass,패스,,8329,277.633,2,team_2,,,,,,,,,,11274,11270,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=49;right_frames=19
event,E00079,pass,패스,,8356,278.533,2,team_2,,,,,,,,,,11052,11270,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=6;right_frames=19
event,E00080,pass,패스,,8432,281.067,2,team_2,,,,,,,,,,11052,11274,0.605,stable_possession_changed_same_team;gap_frames=51;left_frames=7;right_frames=16
event,E00081,pass,패스,,8498,283.267,1,team_1,,,,,,,,,,11078,11454,0.59,stable_possession_changed_same_team;gap_frames=1;left_frames=7;right_frames=6
event,E00082,shot_made,슛성공,,8546,284.867,1,team_1,,,,,,,,,,11078,,0.7,ball_crossed_rim_zone
event,E00083,shot_made,슛성공,,8813,293.767,1,team_1,,,,,,,,,,12161,,0.627,ball_crossed_rim_zone
event,E00084,pass,패스,,9840,328.0,1,team_1,,,,,,,,,,13508,13818,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=23;right_frames=20
event,E00085,pass,패스,,9893,329.767,1,team_1,,,,,,,,,,13863,13818,0.605,stable_possession_changed_same_team;gap_frames=4;left_frames=30;right_frames=7
event,E00086,steal_or_block,스틸/블락,,9931,331.033,2,team_2,,,,,,,,,,13887,13903,0.58,stable_possession_changed_opponent_team;gap_frames=1;left_frames=14;right_frames=8
event,E00087,steal_or_block,스틸/블락,,10100,336.667,1,team_1,,,,,,,,,,14094,13776,0.61,stable_possession_changed_opponent_team;gap_frames=1;left_frames=10;right_frames=14
